id,name,group,primary_type,additional_type(s)
720575940622277400,GNG.4502,GNG,BM_InOm,
720575940622281352,AMMC.131,AMMC,JO-E,
720575940622281904,LAL.47,LAL,LAL124,
720575940622283912,SAD.554,SAD,JO-EVL,
720575940622284947,SMP.SLP.8,SMP.SLP,CB0687,hb-482071823
720575940622285183,PVLP.LO.117,PVLP.LO,LC9,
720575940622286262,AVLP.1880,AVLP,AVLP121,
720575940622288054,LO.PVLP.1683,LO.PVLP,LC26,
720575940622288107,VES.SPS.28,VES.SPS,CB3419,
720575940622291632,GNG.IPS.103,GNG.IPS,CB1144,
720575940622292257,PVLP.24,PVLP,PVLP097,
720575940622293227,AVLP.1587,AVLP,CB2624,
720575940622295585,AMMC.230,AMMC,JO-A,
720575940622297293,PVLP.AVLP.184,PVLP.AVLP,PVLP112b,"PVLP112, pIP7"
720575940622297835,LH.SCL.15,LH.SCL,CB1032,
720575940622297855,AMMC.91,AMMC,JO-B,
720575940622298631,GNG.2904,GNG,LB1a,
720575940622299272,GNG.3747,GNG,BM_InOm,
720575940622299606,LO.PVLP.667,LO.PVLP,LC18,
720575940622299747,AVLP.2785,AVLP,CB2477,
720575940622300429,IPS.SPS.22,IPS.SPS,AN_multi_47,
720575940622300941,GNG.1850,GNG,CB1583,
720575940622301191,LO.PVLP.568,LO.PVLP,LC17,
720575940622302844,IPS.406,IPS,PS193c,PS193
720575940622303446,IPS.SPS.5,IPS.SPS,AN_multi_14,
720575940622304243,AVLP.1291,AVLP,CB2278,PVLP_pr03
720575940622305891,SMP.FLA.32,SMP.FLA,SMP307,
720575940622307148,AVLP.ICL.255,AVLP.ICL,,
720575940622309045,AVLP.SCL.38,AVLP.SCL,AVLP190,AVLP191
720575940622309726,AVLP.140,AVLP,AVLP476,
720575940622312063,GNG.563,GNG,CB0917,
720575940622312072,PVLP.331,PVLP,LPLC2,
720575940622312447,AVLP.428,AVLP,AVLP420_a,AVLP427
720575940622312965,LOP.IPS.6,LOP.IPS,HSS,
720575940622313398,SPS.ME.11,SPS.ME,OA-AL2i2,"hb-1535212969, aDT7"
720575940622313451,LO.PVLP.1508,LO.PVLP,LC6,
720575940622313971,GNG.2626,GNG,,
720575940622314339,LO.294,LO,LPLC1,
720575940622314534,AVLP.573,AVLP,CB1205,
720575940622317823,LO.PVLP.718,LO.PVLP,LC18,
720575940622318599,SAD.33,SAD,CB0307,
720575940622319715,SMP.FLA.2,SMP.FLA,SMP286,pMP5-pCd2
720575940622319913,LO.PVLP.1453,LO.PVLP,LC16,
720575940622321110,SPS.307,SPS,DNbe002,
720575940622321663,LO.PVLP.676,LO.PVLP,LC15,
720575940622323382,PRW.SLP.7,PRW.SLP,AN_multi_70,
720575940622324991,PVLP.SPS.1,PVLP.SPS,PVLP141,
720575940622330582,LO.PVLP.184,LO.PVLP,LC4,
720575940622331350,AVLP.ICL.193,AVLP.ICL,CB1911,
720575940622331882,AL.210,AL,VP3+_l2PN,
720575940622332403,GNG.4086,GNG,DNge020,
720575940622334448,AL.LH.96,AL.LH,M_spPN5t10,
720575940622335197,GNG.947,GNG,CB0407,
720575940622335331,AVLP.395,AVLP,AVLP169,
720575940622336611,AVLP.705,AVLP,AVLP342,
720575940622336944,AVLP.2088,AVLP,CB1143,
720575940622339113,PVLP.36,PVLP,PVLP130,
720575940622340137,GNG.1806,GNG,BM_Hau,
